Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-2.17516660690308,-2.10229182243347,-2.17394614219666,-1.58768701553345,-1.12741959095001,-0.909888744354248,-1.2172384262085,-1.46551132202148,-1.44346809387207,-1.53343546390533,-1.51100194454193,-1.48080575466156,-1.47703349590302,-1.37641882896423,-1.4007453918457,-1.36231827735901,-1.35180771350861,-1.25418150424957,-1.35992228984833,-1.47929918766022,-1.49562668800354,-1.58514487743378,-1.63436961174011
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.41730952262878,-2.42735457420349,-2.43896889686584,-2.03503370285034,-2.19837236404419,-2.29568219184875,-2.06750988960266,-2.21913456916809,-2.4133734703064,-2.69136095046997,-2.71142148971558,-2.57915186882019,-2.50205969810486,-2.41856145858765,-2.51934909820557,-2.41106843948364,-2.57122182846069,-2.67105388641357,-2.80108380317688,-2.76386427879334,-2.65553116798401,-2.70502972602844,-2.52985525131226
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.68858790397644,-0.732602536678314,-0.917780160903931,-0.624333381652832,-0.569067299365997,-0.409061759710312,-0.704830586910248,-0.586620807647705,-0.431428492069244,-0.370871335268021,-0.254886448383331,-0.278687119483948,-0.200375154614449,-0.267875999212265,-0.323595732450485,-0.04880241304636,0.0592881888151169,0.0597151108086109,0.128729850053787,0.110513411462307,-0.033333245664835,-0.124956652522087,-0.00336363865062594
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.336625128984451,-0.544004201889038,-0.539989590644836,-0.297719180583954,-0.309780240058899,-0.427259683609009,-0.505047976970673,-0.508157312870026,-0.203974649310112,-0.0305009130388498,-0.0451405122876167,-0.191482901573181,-0.282379418611526,-0.143631592392921,0.0919297859072685,0.485986232757568,0.346129059791565,0.344644665718079,0.378474771976471,0.370515644550323,0.111168630421162,0.0875523090362549,0.109445847570896
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-1.08876645565033,-0.883071959018707,-1.01074934005737,-0.614207327365875,-0.670340299606323,-0.553408741950989,-0.4386146068573,-0.43114972114563,-0.53074586391449,-0.596755087375641,-0.529050767421722,-0.388126194477081,-0.514732301235199,-0.444745928049088,-0.428817510604858,-0.336888343095779,-0.37799397110939,-0.430877894163132,-0.506708323955536,-0.457864254713058,-0.54141891002655,-0.544885635375977,-0.620759844779968
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.78331053256989,-1.87890470027924,-1.43257737159729,-1.63456511497498,-1.75440907478333,-1.35918843746185,-0.913666009902954,-1.1264134645462,-1.15058553218842,-1.09584629535675,-1.19691348075867,-1.25936758518219,-1.36056065559387,-1.32504332065582,-1.20237147808075,-1.19053518772125,-1.0901597738266,-1.09752571582794,-0.915799140930176,-0.836119592189789,-1.04434263706207,-0.840253829956055,-0.876465022563934
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,-0.127275511622429,0.224524423480034,0.245218232274055,0.480822652578354,0.498143970966339,0.497778326272964,0.487507224082947,0.481147527694702,0.480951368808746,0.486867696046829,0.438700348138809,0.485081702470779,0.528136432170868,0.557348668575287,0.546050012111664,0.537684321403503,0.689502596855164,0.697109878063202
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.7369264960289,0.746284067630768,0.703987658023834,0.967931151390076,0.984463036060333,0.945724666118622,0.919146716594696,0.933990180492401,0.952990829944611,0.928985774517059,1.08068346977234,1.18135726451874,1.19323575496674,1.21886312961578,1.2167763710022,1.17218911647797,1.17400634288788,1.0492981672287
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.41403770446777,1.40335631370544,1.38048672676086,1.36772322654724,1.34845733642578,1.50334131717682,1.2872017621994,1.53803372383118,1.50119686126709,1.52785265445709,1.53600037097931,1.51251101493835,1.49870872497559,1.52303469181061,1.53251993656158,1.71223628520966,1.78248631954193,1.85312378406525,1.93147969245911,1.93613159656525,1.90103769302368,1.81611633300781,1.81625008583069
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.16952216625214,1.18287515640259,1.16698145866394,1.28276693820953,1.46513116359711,1.40210604667664,1.38492727279663,1.34965407848358,1.34201574325562,1.33847212791443,1.29713952541351,1.27827215194702,1.30248832702637,1.29035115242004,1.28392601013184,1.28659331798553,1.39128828048706,1.41341936588287,1.42186880111694,1.41762721538544,1.60220229625702,1.6160352230072,1.63180875778198
